N,Method,Metric,Bias,Variance
50,In-Sample,Correlation,0.45565411935030586,0
50,In-Sample,R2,0.3980639929101847,0
50,In-Sample,RMSE,-0.23289543158427184,0
50,In-Sample,Correlation,0.5586603733794642,0
50,In-Sample,R2,0.8291636447285848,0
50,In-Sample,RMSE,-0.4020904636671896,0
50,In-Sample,Correlation,0.4552103491461165,0
50,In-Sample,R2,0.4609547232759986,0
50,In-Sample,RMSE,-0.236689816605133,0
50,In-Sample,Correlation,0.46920250084161413,0
50,In-Sample,R2,0.5331252921877131,0
50,In-Sample,RMSE,-0.3620606377953691,0
50,In-Sample,Correlation,0.4310886079682102,0
50,In-Sample,R2,0.4482145985360252,0
50,In-Sample,RMSE,-0.2779998563434689,0
50,In-Sample,Correlation,0.3495852954910894,0
50,In-Sample,R2,0.26001118051006056,0
50,In-Sample,RMSE,-0.15167579802389042,0
50,In-Sample,Correlation,0.4678939127621783,0
50,In-Sample,R2,0.550238962276846,0
50,In-Sample,RMSE,-0.30178846661129954,0
50,In-Sample,Correlation,0.5655349975182452,0
50,In-Sample,R2,0.7479570583462462,0
50,In-Sample,RMSE,-0.28806142380846445,0
50,In-Sample,Correlation,0.5982664092977932,0
50,In-Sample,R2,0.894759778492471,0
50,In-Sample,RMSE,-0.4680553429706058,0
50,In-Sample,Correlation,0.4732066964742033,0
50,In-Sample,R2,0.6139403556789232,0
50,In-Sample,RMSE,-0.31062751335898653,0
50,In-Sample,Correlation,0.5892181077135645,0
50,In-Sample,R2,0.8745520955656775,0
50,In-Sample,RMSE,-0.3698651186141336,0
50,In-Sample,Correlation,0.45630764037388266,0
50,In-Sample,R2,0.3643076176065777,0
50,In-Sample,RMSE,-0.29593181960624737,0
50,In-Sample,Correlation,0.32349145591248946,0
50,In-Sample,R2,0.26373056735422273,0
50,In-Sample,RMSE,-0.11524022251720423,0
50,In-Sample,Correlation,0.3801340214912938,0
50,In-Sample,R2,0.28109469809629617,0
50,In-Sample,RMSE,-0.25924379764550076,0
50,In-Sample,Correlation,0.5341558896537569,0
50,In-Sample,R2,0.8176042680015314,0
50,In-Sample,RMSE,-0.23630997517889274,0
50,In-Sample,Correlation,0.48605203109725165,0
50,In-Sample,R2,0.5414459730005448,0
50,In-Sample,RMSE,-0.24211327694778428,0
50,In-Sample,Correlation,0.410637665793514,0
50,In-Sample,R2,0.3266804446450309,0
50,In-Sample,RMSE,-0.2794607777593049,0
50,In-Sample,Correlation,0.4882000722268812,0
50,In-Sample,R2,0.6878389994245903,0
50,In-Sample,RMSE,-0.2541011162704203,0
50,In-Sample,Correlation,0.47587719108918547,0
50,In-Sample,R2,0.5348720803581742,0
50,In-Sample,RMSE,-0.23205848191166267,0
50,In-Sample,Correlation,0.5235629737710823,0
50,In-Sample,R2,0.6586305480265606,0
50,In-Sample,RMSE,-0.32649570448514076,0
50,In-Sample,Correlation,0.40963148160966983,0
50,In-Sample,R2,0.6513204394579741,0
50,In-Sample,RMSE,-0.3414444863572679,0
50,In-Sample,Correlation,0.36036815936111827,0
50,In-Sample,R2,0.23874379628986397,0
50,In-Sample,RMSE,-0.25741260934984855,0
50,In-Sample,Correlation,0.39046212109319733,0
50,In-Sample,R2,0.42605313241222936,0
50,In-Sample,RMSE,-0.14128976561004547,0
50,In-Sample,Correlation,0.3544977355022144,0
50,In-Sample,R2,0.40014652427598235,0
50,In-Sample,RMSE,-0.1131950410685163,0
50,In-Sample,Correlation,0.42391626596148874,0
50,In-Sample,R2,0.4373781366798119,0
50,In-Sample,RMSE,-0.24223172517225333,0
50,In-Sample,Correlation,0.4364506202560695,0
50,In-Sample,R2,0.3971023203537645,0
50,In-Sample,RMSE,-0.24908760618736492,0
50,In-Sample,Correlation,0.5143072293484291,0
50,In-Sample,R2,0.6271284964291644,0
50,In-Sample,RMSE,-0.2557072047295922,0
50,In-Sample,Correlation,0.24808506473557676,0
50,In-Sample,R2,0.1629964794299884,0
50,In-Sample,RMSE,-0.14181118560232664,0
50,In-Sample,Correlation,0.4578984674443208,0
50,In-Sample,R2,0.5056145440084755,0
50,In-Sample,RMSE,-0.2642268080233081,0
50,In-Sample,Correlation,0.5246882313723537,0
50,In-Sample,R2,0.590911871709295,0
50,In-Sample,RMSE,-0.2632534949981522,0
50,In-Sample,Correlation,0.42194864018172834,0
50,In-Sample,R2,0.3436207604904945,0
50,In-Sample,RMSE,-0.21463645354899397,0
50,In-Sample,Correlation,0.44025561085308823,0
50,In-Sample,R2,0.46576413577384884,0
50,In-Sample,RMSE,-0.22589878759742477,0
50,In-Sample,Correlation,0.6767689800917172,0
50,In-Sample,R2,1.118437808161838,0
50,In-Sample,RMSE,-0.5953561053319112,0
50,In-Sample,Correlation,0.5767087775185681,0
50,In-Sample,R2,0.9023845803174277,0
50,In-Sample,RMSE,-0.3947162322859674,0
50,In-Sample,Correlation,0.4337802344431291,0
50,In-Sample,R2,0.5550438221404905,0
50,In-Sample,RMSE,-0.36484126345122825,0
50,In-Sample,Correlation,0.5311139433104841,0
50,In-Sample,R2,0.61646528336907,0
50,In-Sample,RMSE,-0.2687459123483509,0
50,In-Sample,Correlation,0.31343176470081924,0
50,In-Sample,R2,0.36329102005204833,0
50,In-Sample,RMSE,-0.16275373483737587,0
50,In-Sample,Correlation,0.41983321847052973,0
50,In-Sample,R2,0.35537520225664265,0
50,In-Sample,RMSE,-0.239266348816087,0
50,In-Sample,Correlation,0.41067611149853617,0
50,In-Sample,R2,0.4022461898591755,0
50,In-Sample,RMSE,-0.13025656955548093,0
50,In-Sample,Correlation,0.46671745915119445,0
50,In-Sample,R2,0.48832687985259754,0
50,In-Sample,RMSE,-0.3357302294880793,0
50,In-Sample,Correlation,0.5025514571471726,0
50,In-Sample,R2,0.6088000762511288,0
50,In-Sample,RMSE,-0.40423308151416715,0
50,In-Sample,Correlation,0.35588939048647067,0
50,In-Sample,R2,0.38968795846492776,0
50,In-Sample,RMSE,-0.017755149433461348,0
50,In-Sample,Correlation,0.3948914540829789,0
50,In-Sample,R2,0.2566528593016073,0
50,In-Sample,RMSE,-0.4075120096333862,0
50,In-Sample,Correlation,0.33606797915252573,0
50,In-Sample,R2,0.34316762111955135,0
50,In-Sample,RMSE,-0.11366108235782246,0
50,In-Sample,Correlation,0.5483117142949432,0
50,In-Sample,R2,0.7685109072504748,0
50,In-Sample,RMSE,-0.4231137752595202,0
50,In-Sample,Correlation,0.4378945646124196,0
50,In-Sample,R2,0.5335115170400716,0
50,In-Sample,RMSE,-0.2649339731666488,0
50,In-Sample,Correlation,0.5169734903070544,0
50,In-Sample,R2,0.48833914974126347,0
50,In-Sample,RMSE,-0.326705617388114,0
50,In-Sample,Correlation,0.49346987665343806,0
50,In-Sample,R2,0.5403982887655572,0
50,In-Sample,RMSE,-0.24857372632375585,0
50,In-Sample,Correlation,0.45890247520050337,0
50,In-Sample,R2,0.4788020687623805,0
50,In-Sample,RMSE,-0.24899483256951271,0
50,In-Sample,Correlation,0.5460139833080253,0
50,In-Sample,R2,0.8825928690178608,0
50,In-Sample,RMSE,-0.38584461340651266,0
50,In-Sample,Correlation,0.44439048658673097,0
